timestamp;source;destination;port_source;port_destination;details;protocole;flags;length
11:42:29.649917;BP-Linux8.40680;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 59256, win 1124, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649948;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 59256:60704, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649953;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 60704:62152, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649956;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 62152:63600, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649958;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 63600:65048, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649960;mauves.univ-st-etienne.fr.https;BP-Linux8.40683;;;Flags [.], seq 19899:21347, ack 1323, win 252, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649962;BP-Linux8.40683;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 21347, win 568, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649966;mauves.univ-st-etienne.fr.https;BP-Linux8.40684;;;Flags [.], seq 20294:21742, ack 1331, win 253, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649968;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 65048:66496, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649969;mauves.univ-st-etienne.fr.https;BP-Linux8.40680;;;Flags [.], seq 66496:67944, ack 1705, win 261, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649971;mauves.univ-st-etienne.fr.https;BP-Linux8.40684;;;Flags [.], seq 21742:23190, ack 1331, win 253, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
11:42:29.649973;BP-Linux8.40684;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 23190, win 613, options [nop,nop,TS val 102923483 ecr 172356753], length 0;Unknown;.;0
11:42:29.649978;mauves.univ-st-etienne.fr.https;BP-Linux8.40683;;;Flags [.], seq 21347:22795, ack 1323, win 252, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
